step,depth,time
26,2,1.1375741958618164
26,3,4.293233394622803
26,4,46.919811487197876
26,5,96.57931804656982
26,6,537.202214717865
28,2,0.4613356590270996
28,3,1.3763368129730225
28,4,7.914815187454224
28,5,24.334028005599976
28,6,56.988588094711304
30,2,0.17927050590515137
30,3,0.5996735095977783
30,4,1.9490859508514404
30,5,5.151289939880371
30,6,4.283939599990845
32,2,0.04161357879638672
32,3,0.09640002250671387
32,4,0.1279008388519287
32,5,0.10265016555786133
32,6,0.10159444808959961
34,2,0.0009996891021728516
34,3,0.0009996891021728516
34,4,0.0010976791381835938
34,5,0.0013701915740966797
34,6,0.0017712116241455078
18,2,7.2265520095825195
18,3,23.878740310668945
18,4,1141.9728190898895
20,2,5.478852272033691
20,3,19.300320148468018
20,4,391.5708122253418
22,2,3.710298776626587
22,3,14.365532875061035
22,4,236.72018361091614
24,2,2.401726484298706
24,3,16.372724294662476
24,4,263.4904029369354
24,5,1258.7485778331757
24,6,10042.992799758911
26,2,0.9369888305664062
26,3,2.9504458904266357
26,4,24.106607913970947
26,5,69.46418142318726
26,6,385.37637639045715
28,2,0.5323770046234131
28,3,1.670158863067627
28,4,10.59818720817566
28,5,27.107798099517822
28,6,81.23852062225342
30,2,0.17993712425231934
30,3,0.6364669799804688
30,4,2.7261059284210205
30,5,6.622874736785889
30,6,10.45893120765686
32,2,0.04446983337402344
32,3,0.11835169792175293
32,4,0.1271982192993164
32,5,0.13975262641906738
32,6,0.1389753818511963
34,2,0.0020203590393066406
34,3,0.0010077953338623047
34,4,0.0010988712310791016
34,5,0.0020134449005126953
34,6,0.0021963119506835938
18,2,7.161004543304443
18,3,28.410104990005493
18,4,584.4016692638397
20,2,4.573192596435547
20,3,16.67738676071167
20,4,276.17956471443176
22,2,2.499258518218994
22,3,8.366397619247437
22,4,107.266286611557
24,2,1.2971141338348389
24,3,4.526862621307373
24,4,41.492714405059814
24,5,80.86829376220703
24,6,775.818906545639
26,2,0.6987433433532715
26,3,2.1949045658111572
26,4,16.303996801376343
26,5,34.57918572425842
26,6,191.64495158195496
28,2,0.4198787212371826
28,3,2.1109631061553955
28,4,14.152008533477783
28,5,27.34274911880493
28,6,58.72927713394165
30,2,0.15968608856201172
30,3,0.5835006237030029
30,4,1.7532122135162354
30,5,2.5319228172302246
30,6,1.749258041381836
32,2,0.017613649368286133
32,3,0.028286457061767578
32,4,0.022786617279052734
32,5,0.02239680290222168
32,6,0.021956682205200195
34,2,0.0015096664428710938
34,3,0.0010006427764892578
34,4,0.0010075569152832031
34,5,0.0019989013671875
34,6,0.0010006427764892578
18,2,6.72322678565979
18,3,35.42105746269226
18,4,637.582982301712
20,2,4.593678951263428
20,3,16.803409814834595
20,4,286.1813631057739
22,2,2.6407387256622314
22,3,13.96471095085144
22,4,185.8816180229187
24,2,1.6414635181427002
24,3,7.5941290855407715
24,4,52.481587409973145
24,5,217.41254115104675
24,6,886.9411664009094
26,2,0.7912428379058838
26,3,2.630826473236084
26,4,15.601919174194336
26,5,52.68880009651184
26,6,164.65600180625916
28,2,0.28362560272216797
28,3,1.063218116760254
28,4,4.027951002120972
28,5,5.818606853485107
28,6,14.846936464309692
30,2,0.0889439582824707
30,3,0.19172883033752441
30,4,0.32891201972961426
30,5,0.28409790992736816
30,6,0.2861964702606201
32,2,0.015631675720214844
32,3,0.012864351272583008
32,4,0.01300501823425293
32,5,0.01203608512878418
32,6,0.013250589370727539
18,2,7.085036277770996
18,3,27.726288318634033
18,4,562.2901458740234
20,2,4.944407224655151
20,3,18.265705108642578
20,4,326.327942609787
22,2,3.563350200653076
22,3,11.804860830307007
22,4,182.31925463676453
24,2,2.0374701023101807
24,3,6.812744140625
24,4,76.28162956237793
24,5,196.9827482700348
24,6,1617.6552584171295
26,2,1.2361297607421875
26,3,4.413244724273682
26,4,41.89150142669678
26,5,142.30127835273743
26,6,937.5758957862854
28,2,0.6565907001495361
28,3,4.176181793212891
28,4,19.204282522201538
28,5,73.07303261756897
28,6,153.01976346969604
30,2,0.2916603088378906
30,3,0.7567138671875
30,4,2.4979166984558105
30,5,3.573698043823242
30,6,4.312777042388916
32,2,0.06300497055053711
32,3,0.08766484260559082
32,4,0.07355523109436035
32,5,0.07934761047363281
32,6,0.07678341865539551
18,2,6.683449983596802
18,3,23.23754858970642
18,4,632.2559871673584
20,2,4.664063215255737
20,3,17.35351824760437
20,4,309.3737316131592
22,2,2.8684122562408447
22,3,10.275079250335693
22,4,131.46826577186584
24,2,1.7364497184753418
24,3,6.368730783462524
24,4,66.87428069114685
24,5,226.0646481513977
24,6,1934.0306677818298
26,2,0.8972892761230469
26,3,5.347525119781494
26,4,37.300233125686646
26,5,128.50897860527039
26,6,674.2238748073578
28,2,0.3372945785522461
28,3,1.3735969066619873
28,4,6.510746955871582
28,5,18.24369978904724
28,6,36.78001356124878
30,2,0.14548254013061523
30,3,0.31238865852355957
30,4,0.6324448585510254
30,5,0.7353532314300537
